ticket_id,client_id,created_at,status,resolved_at,category,subject,assigned_to
37bfeff0,client_028,2025-11-16 12:23:00,open,,payment,Payout delayed - 21 days,
ca8d908d,client_024,2025-12-04 14:48:00,open,,onboarding,Questions about team management setup,agent_01
606ffa0d,client_026,2025-12-11 11:48:00,resolved,2025-12-12 15:22:51,technical,Upload feature broken,agent_01
48223854,client_003,2025-12-06 14:09:00,resolved,2025-12-09 19:37:34,technical,Dashboard showing incorrect data,
ceecaad0,client_021,2025-11-08 18:21:00,resolved,2025-11-11 13:08:24,payment,Expected payment hasn't arrived,
994fff6c,client_020,2025-11-12 21:07:00,open,,technical,Mobile app crashing on API access,
c1bb49ca,client_047,2025-12-16 15:16:00,resolved,2025-12-21 11:42:37,benefits,Benefits activation issue,agent_02
01e6fd4c,client_047,2025-12-07 20:46:00,pending,,payment,Checking on delayed payout,agent_02
33edd329,client_003,2025-11-26 10:26:00,open,,payment,Payment flagged for review - need help,agent_05
55f3d033,client_050,2025-10-08 22:08:00,pending,,onboarding,New user - need walkthrough,agent_04
cde20210,client_034,2025-11-28 17:21:00,resolved,2025-12-01 16:20:51,technical,Urgent: Production system down,agent_03
38baf587,client_040,2025-11-08 07:19:00,open,,payment,Payment flagged for review - need help,agent_04
f8299fb8,client_021,2025-11-05 09:07:00,pending,,technical,System error when trying to add team members,
89b8860e,client_026,2025-10-19 09:02:00,resolved,2025-10-21 04:05:50,benefits,Issue accessing benefits portal,
e633940f,client_042,2025-10-26 17:17:00,pending,,payment,Payment flagged for review - need help,agent_01
c0a5b250,client_040,2025-12-07 07:40:00,open,,payment,Payment still pending: $3500,agent_04
34cc824b,client_007,2025-12-10 05:26:00,open,,onboarding,Account setup guidance,agent_02
39ff16a5,client_049,2025-12-22 01:58:00,open,,general,General support needed,
aeecfdc4,client_035,2025-10-05 05:26:00,resolved,2025-10-09 16:42:56,compliance,Tax documentation request,
ef1f817b,client_026,2025-11-07 01:00:00,open,,compliance,Tax form submission issue,agent_03
633066f6,client_019,2025-12-07 15:56:00,resolved,2025-12-12 09:17:52,technical,Cannot sync API access,agent_01
a77a3f99,client_022,2025-11-02 22:11:00,pending,,payment,Payment processing issue - Order #48669,agent_02
7b62e00a,client_012,2025-11-21 13:32:00,resolved,2025-11-23 12:56:57,onboarding,Questions about getting started,agent_02
331fd8e2,client_031,2025-11-03 12:15:00,open,,technical,Technical problem with mobile app,agent_05
8371a850,client_001,2025-10-31 01:42:00,open,,payment,Wire transfer not received,agent_05
5b214ad3,client_046,2025-12-21 09:23:00,resolved,2025-12-24 15:45:46,compliance,Compliance verification questions,agent_04
5c565a48,client_048,2025-11-30 17:51:00,resolved,2025-12-04 05:34:19,technical,API integration issue,agent_05
aacc1efd,client_006,2025-12-12 03:03:00,open,,technical,System error when trying to upload documents,
a167cfa1,client_010,2025-11-26 03:43:00,resolved,2025-11-27 13:54:00,payment,Payment still pending: $5000,
5b995d3b,client_030,2025-12-12 01:35:00,pending,,payment,Bank transfer still showing pending,agent_01
99b677a3,client_026,2025-10-28 18:04:00,open,,payment,Payment processing issue - Order #18357,
98abcaf5,client_004,2025-11-30 01:18:00,open,,general,Platform usage question,agent_04
55804f9e,client_024,2025-11-18 12:05:00,open,,general,General support needed,
9b2891d0,client_009,2025-10-23 17:25:00,open,,onboarding,Migration from previous system,
a02fea7c,client_001,2025-11-29 21:46:00,resolved,2025-12-02 20:34:00,compliance,Tax withholding concern,agent_03
e5bb4672,client_010,2025-10-15 01:51:00,resolved,2025-10-18 13:09:04,payment,Payout delayed - 10 days,agent_01
e12eec1c,client_039,2025-10-06 12:28:00,open,,payment,Question about recent payout,
1e7ae550,client_050,2025-11-07 07:52:00,pending,,payment,Payout status inquiry,agent_05
895ccc37,client_050,2025-11-08 04:42:00,open,,onboarding,Training resources for team,agent_01
